ID_LEAD,DATA_ABORDAGEM,SEGMENTO,CANAL,RESULTADO
1,06/23/2025,B2B,Linkedin,Negativo
2,06/23/2025,B2B,Linkedin,Negativo
3,06/23/2025,Agencia,Linkedin,Negativo
4,06/23/2025,B2B,Linkedin,Negativo
5,06/23/2025,Agencia,Linkedin,Não Respondeu
6,06/23/2025,B2B,Linkedin,Não Respondeu
7,06/23/2025,Agencia,Linkedin,Não Respondeu
8,06/23/2025,B2B,Linkedin,Não Respondeu
9,06/23/2025,B2B,Linkedin,Não Respondeu
10,06/23/2025,Agencia,Linkedin,Não Respondeu
11,06/23/2025,B2B,Linkedin,Não Respondeu
12,06/23/2025,B2B,Linkedin,Não Respondeu
13,06/23/2025,Freelancer,Linkedin,Não Respondeu
14,06/23/2025,B2B,Linkedin,Não Respondeu
15,06/23/2025,Agencia,Linkedin,Não Respondeu
16,06/23/2025,Agencia,Linkedin,Não Respondeu
17,06/23/2025,Agencia,Linkedin,Não Respondeu
18,06/23/2025,Agencia,Linkedin,Não Respondeu
19,06/23/2025,Agencia,Linkedin,Não Respondeu
20,06/23/2025,Agencia,Linkedin,Não Respondeu
21,06/23/2025,Agencia,Linkedin,Não Respondeu
22,06/23/2025,Agencia,Linkedin,Não Respondeu
23,06/23/2025,Agencia,Linkedin,Não Respondeu
24,06/23/2025,B2B,Linkedin,Não Respondeu
25,06/23/2025,B2B,Linkedin,Não Respondeu
26,06/23/2025,B2B,Linkedin,Não Respondeu
27,06/23/2025,B2B,Linkedin,Não Respondeu
28,06/23/2025,B2B,Linkedin,Não Respondeu
29,06/23/2025,B2B,Linkedin,Não Respondeu
30,06/23/2025,B2B,Linkedin,Não Respondeu
31,06/23/2025,B2B,Linkedin,Não Respondeu
32,06/23/2025,B2B,Linkedin,Não Respondeu
33,06/23/2025,B2B,Linkedin,Não Respondeu
34,06/23/2025,B2B,Linkedin,Não Respondeu
35,06/23/2025,B2B,Linkedin,Não Respondeu
36,06/23/2025,B2B,Linkedin,Não Respondeu
37,06/23/2025,B2B,Linkedin,Não Respondeu
38,06/23/2025,B2B,Linkedin,Não Respondeu
39,06/23/2025,Agencia,Linkedin,Não Respondeu
40,06/23/2025,Agencia,Linkedin,Não Respondeu
41,06/23/2025,Agencia,Linkedin,Não Respondeu
42,06/23/2025,Agencia,Linkedin,Não Respondeu
43,06/23/2025,Agencia,Linkedin,Não Respondeu
44,06/23/2025,Agencia,Linkedin,Não Respondeu
45,06/23/2025,Agencia,Linkedin,Não Respondeu
46,06/23/2025,Agencia,Linkedin,Não Respondeu
47,06/23/2025,B2B,Linkedin,Não Respondeu
48,06/23/2025,B2B,Linkedin,Não Respondeu
49,06/23/2025,B2B,Linkedin,Não Respondeu
50,06/23/2025,B2B,Linkedin,Não Respondeu
51,06/23/2025,Agencia,Whatsapp,Não Respondeu
52,06/23/2025,Agencia,Whatsapp,Não Respondeu
53,06/23/2025,Agencia,Whatsapp,Não Respondeu
54,06/23/2025,Agencia,Whatsapp,Não Respondeu
55,06/23/2025,Agencia,Whatsapp,Não Respondeu
56,06/23/2025,Agencia,Whatsapp,Não Respondeu
57,06/23/2025,Agencia,Whatsapp,Não Respondeu
58,06/23/2025,Agencia,Whatsapp,Não Respondeu
